Unnamed: 0	sub_id	ses_id	block_no	trial_no	phase_type	phase_no	phase_length	trialInPhase_no	phase_type_order	color_left	color_right	color1	color2	position1	position2	prob1	prob2	mag1	mag2	ev1	ev2	outcome1	outcome2	prob_left	prob_right	mag_left	mag_right	ev_left	ev_right	reward_validity	resp_time	resp_key	timeout	choice_side	choice	ev_corr_resp	ev_correct	prob_corr_resp	prob_correct	mag_corr_resp	mag_correct	high_prob	high_prob_side	high_prob_color	low_prob_color	no_brain	reward	name	version	proj_id	logFileID
0	4	1	1	1	volatile	1	40	1	vs	blue	red	red	blue	right	left	0.7	0.3	4	6	2.8	1.8	0	1	0.3	0.7	6	4	1.8	2.8	invalid	0.8497700070001879	51200	0	0	2	53248	0	53248	0	51200	1	0.7	53248	red	blue	0	6	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
1	4	1	1	2	volatile	1	40	2	vs	red	blue	red	blue	left	right	0.7	0.3	6	2	4.2	0.6	1	0	0.7	0.3	6	2	4.2	0.6	valid	0.8164466970010841	51200	0	0	1	51200	1	51200	1	51200	1	0.7	51200	red	blue	1	6	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
2	4	1	1	3	volatile	1	40	3	vs	red	blue	red	blue	left	right	0.7	0.3	4	6	2.8	1.8	0	1	0.7	0.3	4	6	2.8	1.8	invalid	0.9497516259998521	53248	0	1	2	51200	0	51200	0	53248	1	0.7	51200	red	blue	0	6	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
3	4	1	1	4	volatile	1	40	4	vs	red	blue	red	blue	left	right	0.7	0.3	2	4	1.4	1.2	1	0	0.7	0.3	2	4	1.4	1.2	valid	0.733146762000615	53248	0	1	2	51200	0	51200	0	53248	1	0.7	51200	red	blue	0	0	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
4	4	1	1	5	volatile	1	40	5	vs	red	blue	red	blue	left	right	0.7	0.3	2	4	1.4	1.2	0	1	0.7	0.3	2	4	1.4	1.2	invalid	1.06638141400072	53248	0	1	2	51200	0	51200	0	53248	1	0.7	51200	red	blue	0	4	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
5	4	1	1	6	volatile	1	40	6	vs	blue	red	red	blue	right	left	0.7	0.3	6	4	4.2	1.2	1	0	0.3	0.7	4	6	1.2	4.2	valid	1.23298935099956	51200	0	0	2	53248	0	53248	0	53248	0	0.7	53248	red	blue	1	0	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
6	4	1	1	7	volatile	1	40	7	vs	blue	red	red	blue	right	left	0.7	0.3	10	2	7.0	0.6	1	0	0.3	0.7	2	10	0.6	7.0	valid	0.749814299999343	53248	0	1	1	53248	1	53248	1	53248	1	0.7	53248	red	blue	1	10	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
7	4	1	1	8	volatile	1	40	8	vs	blue	red	red	blue	right	left	0.7	0.3	6	2	4.2	0.6	1	0	0.3	0.7	2	6	0.6	4.2	valid	0.599855955000749	53248	0	1	1	53248	1	53248	1	53248	1	0.7	53248	red	blue	1	6	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
8	4	1	1	9	volatile	1	40	9	vs	red	blue	red	blue	left	right	0.7	0.3	10	2	7.0	0.6	0	1	0.7	0.3	10	2	7.0	0.6	invalid	0.53319294100038	51200	0	0	1	51200	1	51200	1	51200	1	0.7	51200	red	blue	1	0	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
9	4	1	1	10	volatile	1	40	10	vs	red	blue	red	blue	left	right	0.7	0.3	2	10	1.4	3.0	1	0	0.7	0.3	2	10	1.4	3.0	valid	0.9164297250008531	53248	0	1	2	53248	1	51200	0	53248	1	0.7	51200	red	blue	0	0	ml	2.7.3	bip	sub-01_ses-01_task-ml_proj-bip_2020-10-16-10-14-12.141483
